Algoritmo,Variável Independente,Coeficiente de Correlação,P-Valor,Inclinação (Slope),Intercepto
Dijkstra,Número de Vértices,0.8602409166506945,1.1071303337291226e-09,2.0993606690749693e-06,-0.039489768844550466
Dijkstra,Número de Arestas,0.858413420451719,1.3123685660279026e-09,1.0043300570325213e-06,-0.0390092169373436
Dijkstra,Densidade do Grafo,-0.2282860892110926,0.2249978776747068,-25.482339181674774,0.05185963539215503
Astar,Número de Vértices,0.8379280303659304,7.617898706492368e-09,6.460769142279144e-07,-0.011111001979568328
Astar,Número de Arestas,0.8376184769591383,7.80834531862721e-09,3.0962552330761294e-07,-0.011008929376018021
Astar,Densidade do Grafo,-0.23826163726162358,0.20482837235987172,-8.402809329858421,0.017138506161385698
Bellman ford,Número de Vértices,0.9769924435705979,2.4783507642593085e-20,3.922972187200656e-05,-0.43698158677818333
Bellman ford,Número de Arestas,0.9759700128982083,4.526924944115601e-20,1.8787694895557723e-05,-0.42971043392772124
Bellman ford,Densidade do Grafo,-0.3365365648462769,0.06900021937180104,-618.0863671235236,1.3046439455439196
Bidirectional dijkstra,Número de Vértices,0.8549295791755416,1.8032506866308987e-09,2.091222987304003e-06,-0.03892773222090274
Bidirectional dijkstra,Número de Arestas,0.8530627317408536,2.130807921744099e-09,1.0003776272058608e-06,-0.03844403823343889
Bidirectional dijkstra,Densidade do Grafo,-0.22900432486117597,0.22350247530735612,-25.621618954557164,0.05212565959420502
Bidirectional a star,Número de Vértices,0.7787623101560496,4.0160144530865356e-07,4.846214753731641e-08,-0.0006648399335567989
Bidirectional a star,Número de Arestas,0.7792378641003168,3.909296681686738e-07,2.324774206074136e-08,-0.0006591027495592979
Bidirectional a star,Densidade do Grafo,-0.21783643476205938,0.2475201860680526,-0.6200420364688696,0.0014516508475046343
